nocues;nhog;region;aglo;t_aglo;v108;v109;v111;v202;v238a;v256a
157;1;3;6;2;2;2;3;;;
158;1;3;6;2;35;1;1;3;1;1
158;1;3;6;2;25;2;2;3;;
158;1;3;6;2;8;2;3;;;
158;1;3;6;2;5;1;3;;;
158;1;3;6;2;0;2;3;;;
159;1;3;6;2;45;1;1;1;1;1
159;1;3;6;2;30;2;2;3;;
159;1;3;6;2;13;2;3;;;
159;1;3;6;2;10;1;3;;;
159;1;3;6;2;5;1;3;;;
160;1;3;6;2;55;1;1;9;1;
160;1;3;6;2;53;2;2;;;
160;2;3;6;2;28;1;1;3;1;2
160;2;3;6;2;25;2;2;;;
160;2;3;6;2;1;2;3;;;
161;1;3;6;2;63;1;1;1;1;2
161;1;3;6;2;60;2;2;1;;
161;1;3;6;2;31;2;3;3;;
162;1;3;6;2;28;1;1;1;2;1
162;1;3;6;2;23;2;2;1;;
162;1;3;6;2;5;2;3;;;
163;1;3;6;2;29;2;1;3;1;1
163;1;3;6;2;9;2;3;;;
163;1;3;6;2;6;2;3;;;
163;1;3;6;2;5;1;3;;;
163;2;3;6;2;56;1;1;3;1;2
165;1;3;6;4;50;2;2;;1;
165;1;3;6;4;55;1;1;;;
165;1;3;6;4;21;2;3;3;;
165;1;3;6;4;16;1;3;;;
166;1;3;6;4;55;1;1;;1;
166;1;3;6;4;41;2;2;;;
167;1;3;6;4;38;2;1;;1;1
167;1;3;6;4;16;2;3;;;
167;1;3;6;4;8;1;3;;;
168;1;3;6;4;50;1;1;;3;1
168;1;3;6;4;44;2;2;;;
168;1;3;6;4;12;2;3;;;
168;1;3;6;4;10;2;3;;;
169;1;3;6;4;37;2;1;1;1;
169;1;3;6;4;27;1;2;3;;
170;1;3;6;4;76;2;1;;3;2
171;1;3;6;4;57;2;2;;1;
171;1;3;6;4;66;1;1;;;
172;1;3;6;4;27;1;1;;1;
172;1;3;6;4;25;2;2;1;;
172;1;3;6;4;4;2;3;;;
172;1;3;6;4;2;2;3;;;
173;1;3;6;2;42;2;1;1;2;1
173;1;3;6;2;22;1;3;2;;
174;1;3;6;2;79;2;1;;1;1
174;1;3;6;2;43;2;3;1;;
174;1;3;6;2;22;2;7;;;
175;1;3;6;2;68;2;1;1;1;1
175;1;3;6;2;61;1;2;;;
175;1;3;6;2;35;1;3;;;
176;1;3;6;2;73;2;1;2;1;
176;1;3;6;2;43;1;3;1;;
176;1;3;6;2;36;1;3;2;;
177;1;3;6;2;33;1;1;1;3;1
177;1;3;6;2;17;2;2;;;
177;1;3;6;2;2;2;3;;;
178;1;3;6;2;52;1;1;1;1;2
178;1;3;6;2;51;2;2;;;
178;1;3;6;2;24;2;3;3;;
179;1;3;6;2;67;1;1;1;1;1
179;1;3;6;2;62;2;2;;;
179;1;3;6;2;28;2;3;1;;
180;1;3;6;2;51;1;1;;2;1
180;1;3;6;2;45;2;2;;;
180;1;3;6;2;24;1;3;3;;
180;1;3;6;2;21;1;3;3;;
180;1;3;6;2;6;1;3;;;
181;1;3;6;2;37;1;1;;1;1
181;1;3;6;2;45;2;2;9;;
181;1;3;6;2;24;1;3;3;;
181;1;3;6;2;21;1;3;3;;
181;1;3;6;2;16;1;3;;;
181;1;3;6;2;19;2;3;3;;
181;1;3;6;2;11;2;3;;;
181;1;3;6;2;8;2;3;;;
181;2;3;6;2;75;2;1;;1;2
182;1;3;6;2;43;1;1;3;2;1
182;1;3;6;2;43;2;2;3;;
182;1;3;6;2;15;2;3;;;
182;2;3;6;2;64;2;1;9;1;1
182;2;3;6;2;25;1;3;3;;
183;1;3;6;2;64;1;1;1;1;
183;1;3;6;2;59;2;2;1;;
183;1;3;6;2;38;2;3;;;
183;2;3;6;2;32;2;2;;1;1
183;2;3;6;2;36;1;1;1;;
183;2;3;6;2;12;1;3;;;
183;2;3;6;2;10;2;3;;;
183;2;3;6;2;7;1;3;;;
184;1;3;6;2;43;1;2;1;1;1
184;1;3;6;2;42;2;1;1;;
184;1;3;6;2;19;1;3;;;
184;1;3;6;2;17;1;3;;;
185;1;3;6;2;46;2;2;3;2;1
185;1;3;6;2;52;1;1;;;
185;1;3;6;2;24;1;3;;;
185;1;3;6;2;22;2;3;;;
185;1;3;6;2;17;1;3;;;
186;1;3;6;2;35;1;1;1;1;1
186;1;3;6;2;75;1;9;1;;
186;1;3;6;2;69;2;9;1;;
187;1;8;6;3;28;1;1;3;1;9
187;1;8;6;3;28;2;2;3;;
187;1;8;6;3;9;2;3;;;
187;1;8;6;3;0;2;3;;;
188;1;8;6;3;35;1;1;;2;
188;1;8;6;3;35;2;2;;;
188;1;8;6;3;7;2;3;;;
188;1;8;6;3;0;2;3;;;
189;1;8;6;4;55;1;1;1;1;
189;1;8;6;4;54;2;2;1;;
190;1;8;6;4;35;2;1;1;1;1
190;1;8;6;4;6;1;3;;;
190;1;8;6;4;2;2;3;;;
191;1;8;6;4;67;1;1;3;1;
191;1;8;6;4;66;2;2;;;
191;1;8;6;4;23;1;3;;;
192;1;8;6;4;48;1;1;2;1;1
